"Date","Open","High","Low","Close*","Adj Close**","Volume"
"Feb 08, 2021","21.89","22.07","21.23","21.24","21.24","-"
"Feb 05, 2021","21.99","22.16","20.86","20.87","20.87","-"
"Feb 04, 2021","23.44","23.44","21.68","21.77","21.77","-"
"Feb 03, 2021","24.59","25.43","22.91","22.91","22.91","-"
"Feb 02, 2021","28.01","28.08","25.31","25.56","25.56","-"
"Feb 01, 2021","31.45","33.96","29.03","30.24","30.24","-"
"Jan 29, 2021","35.16","37.51","29.24","33.09","33.09","-"
"Jan 28, 2021","33.25","36.29","27.39","30.21","30.21","-"
"Jan 27, 2021","23.82","37.21","23.71","37.21","37.21","-"
"Jan 26, 2021","23.91","23.94","22.55","23.02","23.02","-"
"Jan 25, 2021","22.31","26.63","22.20","23.19","23.19","-"
"Jan 22, 2021","22.24","23.73","21.27","21.91","21.91","-"
"Jan 21, 2021","21.34","22.22","21.09","21.32","21.32","-"
"Jan 20, 2021","22.82","22.86","21.37","21.58","21.58","-"
"Jan 19, 2021","23.03","23.56","22.53","23.24","23.24","-"
"Jan 15, 2021","23.52","25.80","23.08","24.34","24.34","-"
"Jan 14, 2021","22.22","23.47","21.66","23.25","23.25","-"
"Jan 13, 2021","23.07","24.18","21.92","22.21","22.21","-"
"Jan 12, 2021","23.49","25.15","22.83","23.33","23.33","-"
"Jan 11, 2021","23.31","24.81","23.23","24.08","24.08","-"
"Jan 08, 2021","22.43","23.34","21.42","21.56","21.56","-"
"Jan 07, 2021","23.67","23.91","22.25","22.37","22.37","-"
"Jan 06, 2021","25.48","26.77","22.14","25.07","25.07","-"
"Jan 05, 2021","26.94","28.60","24.80","25.34","25.34","-"
"Jan 04, 2021","23.04","29.19","22.56","26.97","26.97","-"
"Dec 31, 2020","22.99","23.25","21.24","22.75","22.75","-"
"Dec 30, 2020","22.58","23.15","22.41","22.77","22.77","-"
"Dec 29, 2020","21.61","23.72","20.99","23.08","23.08","-"
"Dec 28, 2020","22.11","22.12","21.15","21.70","21.70","-"
"Dec 24, 2020","22.47","22.83","21.39","21.53","21.53","-"
"Dec 23, 2020","23.49","23.68","22.13","23.31","23.31","-"
"Dec 22, 2020","25.24","25.56","23.53","24.23","24.23","-"
"Dec 21, 2020","24.25","31.46","24.23","25.16","25.16","-"
"Dec 18, 2020","22.15","23.77","21.57","21.57","21.57","-"
"Dec 17, 2020","21.98","22.27","21.52","21.93","21.93","-"
"Dec 16, 2020","22.51","23.67","22.29","22.50","22.50","-"
"Dec 15, 2020","24.00","24.07","22.73","22.89","22.89","-"
"Dec 14, 2020","22.67","24.82","21.95","24.72","24.72","-"
"Dec 11, 2020","22.49","25.14","22.48","23.31","23.31","-"
"Dec 10, 2020","22.12","23.46","21.53","22.52","22.52","-"
"Dec 09, 2020","20.66","22.93","20.10","22.27","22.27","-"
"Dec 08, 2020","21.65","22.25","20.52","20.68","20.68","-"
"Dec 07, 2020","22.04","22.62","21.17","21.30","21.30","-"
"Dec 04, 2020","21.05","21.15","19.97","20.79","20.79","-"
"Dec 03, 2020","21.24","21.88","20.72","21.28","21.28","-"
"Dec 02, 2020","21.00","21.25","20.04","21.17","21.17","-"
"Dec 01, 2020","20.21","20.92","20.00","20.77","20.77","-"
"Nov 30, 2020","22.64","22.89","20.48","20.57","20.57","-"
"Nov 27, 2020","21.52","21.60","19.51","20.84","20.84","-"
"Nov 25, 2020","21.65","22.50","21.13","21.25","21.25","-"
"Nov 24, 2020","22.04","22.48","20.80","21.64","21.64","-"
"Nov 23, 2020","23.66","23.96","22.45","22.66","22.66","-"
"Nov 20, 2020","23.43","23.73","22.13","23.70","23.70","-"
"Nov 19, 2020","23.62","24.52","22.56","23.11","23.11","-"
"Nov 18, 2020","22.86","23.92","21.66","23.84","23.84","-"
"Nov 17, 2020","22.84","24.09","22.34","22.71","22.71","-"
"Nov 16, 2020","23.66","24.08","22.43","22.45","22.45","-"
"Nov 13, 2020","24.94","25.03","22.74","23.10","23.10","-"
"Nov 12, 2020","24.39","27.27","23.53","25.35","25.35","-"
"Nov 11, 2020","25.01","25.12","22.57","23.45","23.45","-"
"Nov 10, 2020","25.36","26.77","24.35","24.80","24.80","-"
"Nov 09, 2020","24.80","25.82","22.41","25.75","25.75","-"
"Nov 06, 2020","27.87","29.44","24.56","24.86","24.86","-"
"Nov 05, 2020","27.56","28.14","26.04","27.58","27.58","-"
"Nov 04, 2020","36.79","36.85","28.03","29.57","29.57","-"
"Nov 03, 2020","36.44","36.44","34.19","35.55","35.55","-"
"Nov 02, 2020","38.57","38.78","36.13","37.13","37.13","-"
"Oct 30, 2020","40.81","41.09","36.50","38.02","38.02","-"
"Oct 29, 2020","38.80","41.16","35.63","37.59","37.59","-"
"Oct 28, 2020","34.69","40.77","34.68","40.28","40.28","-"
"Oct 27, 2020","32.04","33.77","31.85","33.35","33.35","-"
"Oct 26, 2020","29.38","33.68","29.22","32.46","32.46","-"
"Oct 23, 2020","28.47","28.67","27.26","27.55","27.55","-"
"Oct 22, 2020","30.10","30.12","27.68","28.11","28.11","-"
"Oct 21, 2020","29.12","30.55","28.37","28.65","28.65","-"
"Oct 20, 2020","28.81","29.60","28.29","29.35","29.35","-"
"Oct 19, 2020","27.36","29.69","27.04","29.18","29.18","-"
"Oct 16, 2020","27.16","27.46","26.19","27.41","27.41","-"
"Oct 15, 2020","27.10","29.06","26.82","26.97","26.97","-"
"Oct 14, 2020","25.72","27.23","25.53","26.40","26.40","-"
"Oct 13, 2020","25.67","26.93","25.16","26.07","26.07","-"
"Oct 12, 2020","25.65","25.65","24.14","25.07","25.07","-"
"Oct 09, 2020","26.20","26.22","24.03","25.00","25.00","-"
"Oct 08, 2020","27.65","27.99","24.88","26.36","26.36","-"
"Oct 07, 2020","29.26","29.76","27.94","28.06","28.06","-"
"Oct 06, 2020","28.05","30.00","26.01","29.48","29.48","-"
"Oct 05, 2020","29.52","29.69","27.27","27.96","27.96","-"
"Oct 02, 2020","28.87","29.90","26.93","27.63","27.63","-"
"Oct 01, 2020","25.78","27.11","25.33","26.70","26.70","-"
"Sep 30, 2020","26.69","27.12","25.06","26.37","26.37","-"
"Sep 29, 2020","26.81","27.43","25.98","26.27","26.27","-"
"Sep 28, 2020","27.15","27.19","24.90","26.19","26.19","-"
"Sep 25, 2020","28.17","30.43","26.02","26.38","26.38","-"
"Sep 24, 2020","29.54","30.49","27.94","28.51","28.51","-"
"Sep 23, 2020","27.02","29.73","25.19","28.58","28.58","-"
"Sep 22, 2020","28.61","28.78","26.48","26.86","26.86","-"
